Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|1|Loan Number|Loan Number|M142|Loan Number - Report an identifier for a loan that will be the A contributor- s may be used defined alpha- (32)|Dynamic|Mandatory||3|Schedule C: Address Matching Loan Level - C.1 Data Table, Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|2|Loan Closing|Loan Closing|M143|Loan Closing Date – Report the date the loan originally closed.|Dynamic|Mandatory|YYYYMMDD|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|3|First Payment|First Payment|M144|First Payment Date – Report the date the borrower was|Dynamic|Mandatory|YYYYMMDD|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|4|Property State|Property State|9200|Property State – Report the state in which the property is|Dynamic|Mandatory|Character (2)|3|Schedule C: Address Matching Loan Level - C.1 Data Table, Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|5|Property ZIP|Property ZIP|9220|Property Zip Code – Report the five-digit ZIP code.|Dynamic|Mandatory|Character(5)|3|Schedule C: Address Matching Loan Level - C.1 Data Table, Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|6|Original Loan|Original Loan|M147|Original Loan Amount Disbursed – Report the dollar amount of e.g., 125000 for|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|7|Original Property|Original Property|M148|Original Property Value – Report the property value in dollars e.g., 125000 for|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|8|Original LTV|Original LTV|M149|Original LTV – Report the original loan-to-value (LTV) ratio, Provide as a|Dynamic|Mandatory|Numeric, to 2|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|9|Original|Original|M150|Original Combined LTV – Report the original combined loan- Provide as a|Dynamic|Mandatory|Numeric, to 2|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|10|Income|Income|M151|Report how the borrower’s income levels were documented at Income|Dynamic|Mandatory|Character (1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|11|Debt to Income|Debt to Income|M152|Debt to Income (DTI) – Report the DTI ratio. This ratio is the|Dynamic|Mandatory|Whole Number|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|12|Debt to Income|Debt to Income|M153|DTI Ratio (Front-end) at origination – Report the Front-end|Dynamic|Mandatory|Whole Number|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|13|Origination|Origination|M154|Report the credit score of the borrower at origination using a Whole Credit Bureau commercially available credit bureau score (for a definition of Provide as a|Dynamic|Mandatory|whole Number|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|14|Occupancy|Occupancy|M155|Report Occupancy related information available on the Occupancy Coding|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|15|Credit Class|Credit Class|M156|Credit Class - Report the credit class designation as Prime, Alt- 1 = Prime|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|16|Loan Type|Loan Type|M157|Report the product group (i.e. loan type). Loan type should Loan Type Coding|Dynamic|Mandatory|Character(1)|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|17|Lien Position at|Lien Position at|M158|Lien Position at Origination – Report the position of this loan 1 = First lien|Dynamic|Mandatory|Character(1)|3|Schedule C: Address Matching Loan Level - C.1 Data Table, Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|18|Loan Source|Loan Source|M159|Report the source by which the servicer originated or 1 = Retail (Branch,|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|19|Product Type -|Product Type -|M160|Product Type –Report the product type as of the reporting Product Type|Dynamic|Mandatory|Character(2)|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|20|Loan Purpose|Loan Purpose|M161|Report the purpose for the loan origination. If the loan has Loan Purpose|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|21|Number of Units|Number of Units|M162|Number of units to the property financed by the loan – Report 1 = one unit|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|22|Mortgage|Mortgage|M163|Report the mortgage insurance coverage percent at Provide as a|Dynamic|Mandatory|Numeric, to 2|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|23|Property Type|Property Type|M164|Property Type – 1 = Single Family|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|24|Balloon Flag|Balloon Flag|M165|Balloon Flag-Report whether the mortgage has a balloon Y=Yes|Dynamic|Mandatory|Character(1)|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|25|Balloon Term|Balloon Term|M166|Balloon Term (In Months) – For mortgages with a final balloon|Dynamic|Mandatory|Whole Number|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|26|Buy down Flag|Buy down Flag|M167||Dynamic|Mandatory||1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|27|Interest Only at|Interest Only at|M168|Interest Only at Origination Flag – Report whether the loan Y=Yes|Dynamic|Mandatory|Character(1)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|28|Recourse Flag|Recourse Flag|M169|Report whether there is recourse on a loan. Recourse on a loan Y=Yes|Dynamic|Mandatory|Character(1)|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|29|ARM Initial Rate|ARM Initial Rate|M170|Report the initial interest rate on the loan. s|Dynamic|Mandatory||1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|30|ARM Initial Rate|ARM Initial Rate|M171|Report the ARM initial rate adjustment period (in months).|Dynamic|Mandatory|Whole Number|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|31|ARM Periodic|ARM Periodic|M172|Report the ARM Periodic Interest Reset Period (in Months).|Dynamic|Mandatory|Whole Number|1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|32|ARM Index|ARM Index|M173|ARM Index – Report the index used as the basis for 07 = COSI - Cost of|Dynamic|Mandatory|Character(2)|2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|33|ARM Margin at|ARM Margin at|M174|ARM margin – Report the margin for adjustable rate loans. s|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|34|ARM Negative|ARM Negative|M175|ARM negative amortization % limit. s|Dynamic|Mandatory||1|
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|35|ARM Periodic|ARM Periodic|M176|ARM periodic rate cap – Report the periodic interest rate cap s|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|36|ARM Periodic|ARM Periodic|M177|ARM Periodic Rate Floor- Report the periodic interest rate s|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|37|ARM Lifetime|ARM Lifetime|M178|ARM Lifetime Rate Cap s|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
FR Y-14M|Schedule A: Domestic First Lien Closed-end 1-4 Family Residential Loan - A.1 Loan Level Table|38|ARM Lifetime|ARM Lifetime|M179|ARM Lifetime Rate Floor s|Dynamic|Mandatory||2|Schedule B: Domestic Home Equity Loan and Home Equity Line - B.1 Loan/Line Level Table
