Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference
FR Y-14Q|Schedule B: Securities||Designations 815-20-25-12A and 815-25-35-13B. 3= Not applicable Schedule C—Regulatory Capital Instruments General guidance The FR Y-14Q Regulatory Capital Instruments quarterly schedules collect historical data of firms’ transactions in and balances of funded instruments that are included in regulatory capital as well as subordinated debt instruments and their related hedging instruments – included in FR Y-9C line item|Designations 815-20-25-12A and 815-25-35-13B. 3= Not applicable Schedule C—Regulatory Capital Instruments General guidance The FR Y-14Q Regulatory Capital Instruments quarterly schedules collect historical data of firms’ transactions in and balances of funded instruments that are included in regulatory capital as well as subordinated debt instruments and their related hedging instruments – included in FR Y-9C line item|BHCK4062|, “Subordinated notes and debentures.” They|Dynamic|Mandatory||1|
FR Y-14Q|Schedule B: Securities||Column H Comments Use this field to report any supporting information regarding the instrument, including how it relates to amounts approved in the firm’s capital plan. Comments should also reflect summary balance variances by Instrument Type. Column I Carrying value, as of quarter-end  Report the carrying value of the instrument. This number should match the value that enters in FR Y-9C line item|$Millions|BHCK4062|, “Subordinated notes and debentures”. For subordinated debt with multiple interest rate swaps, report the sums of the full carrying|Dynamic|Mandatory||1|
FR Y-14Q|Schedule B: Securities||quarter end. For subordinated debt with multiple interest rate swaps, report the sums of the full amounts of unamortized discounts/ premiums, fees, and foreign exchange translation impact  associated with the underlying note at quarter end. Report the amount with a positive sign for the unamortized amount of the discount and a negative sign for the unamortized amount of the premium. Column K Fair value of swaps, as of quarter end  Report the dollar value of swaps associated with the instrument that enter FR Y-9C line item|for FX-denominated instruments|BHCK4062|, “Subordinated notes and debentures.” For subordinated debt with multiple|Dynamic|Mandatory||1|
FR Y-14Q|Schedule B: Securities||due to the fair value adjustment of swaps . Quarterly interest expense should be reported at a disaggregated level for each security. Firms should report the quarterly P&L for the specific instrument including any underwriting fees and income/expense due to swaps, but excluding the gains/losses due to any fair value adjustments over the quarter. With respect to realized cash flow, firms should only report cash flow from swaps to the extent that they are included in interest expense on subordinated debt. Column R Interest expense for the quarter (with swaps, this number should reconcile to the quarterly number reported in FR Y-9C|under ASC 185/FAS 133 accounting hedge recognition|BHCK4397|for all subordinated debt instruments) ($Millions)|Dynamic|Mandatory||1|
FR Y-14Q|Schedule B: Securities||Report the dollar amount of the interest expense recorded for the instrument, inclusive of swaps and fair value adjustments. The sum of the quarterly interest expense on all subordinated debt securities reported in this field should match the aggregate number reported on the form FR Y-9C, item|Report the dollar amount of the interest expense recorded for the instrument, inclusive of swaps and fair value adjustments. The sum of the quarterly interest expense on all subordinated debt securities reported in this field should match the aggregate number reported on the form FR Y-9C, item|BHCK4397|. If a firm’s FR- Y9C BHCK4397 aggregate number includes additional non-subordinated debt items such as but not limited to the interest expense of mandatory convertible securities associated with gross equity contract notes and gross equity commitment notes, please provide a note with the aggregate amount attributable to these non- subordinated debt interest expenses in the Comments field for this item. Column S Fair value adjustment at the quarter end for subordinated debt|Dynamic|Mandatory||1|
FR Y-14Q|Schedule F: Trading||However, report the aggregate of all nonaccrual loans as line item 9 rather than including them in each loan type. Although nonaccrual loans are reported in aggregate for reporting purposes, BHCs, IHCs, and SLHCs are encouraged to provide details on the nonaccrual loans by Balance Sheet worksheet definition, if available, in the documentation supporting their FR Y-14A submission. Average balances on the PPNR Net Interest Income worksheets  are intended to be reported in a manner consistent with items on the Balance Sheet worksheet of FR Y-14A schedule. As such, average asset balances on PPNR Net Interest Income worksheet are to reconcile to average of asset balances based on FR Y-9C|both on FR Y-14Q and FR Y-14A|BHCK2170|(which reflects fair value of AFS|Dynamic|Mandatory||1|
FR Y-14Q|Schedule F: Trading||Report the average balance of Securities sold under agreement to repurchase as defined in the FR Y-9C, Schedule HC, item 14.b. Line item 36C Other Short Term Borrowing Report the average balance of liabilities reported as other borrowed money and subordinated notes and debentures . A sum of line items 36C  and 39  equals a sum of average|as defined in the FR Y-9C, Schedule HC, items 16 and items 19.a. which the firm would define as short term borrowings|BHCK3190|, average BHCK4062, and average interest-bearing liabilities|Dynamic|Mandatory||1|
FR Y-14Q|Schedule F: Trading||reported in|reported in|BHCK2750|; line item 40 (“other liabilities”) captures average non-interest bearing liabilities in BHCK2750. Line item 37 Trading Liabilities Report the average balance of Trading Liabilities as defined in the FR Y-9C, Schedule HC, item 15. Line item 38 Subordinated Notes Payable to Unconsolidated Trusts Issuing Trust Preferred Securities (TruPS) and TruPS Issued by Consolidated Special Purpose Entities Report the average balance of Preferred Securities (TruPS) and TruPS Issued by Consolidated Special Purpose Entities as defined in the FR Y-9C, Schedule HC, item 19b.|Dynamic|Mandatory||1|
FR Y-14Q|Schedule F: Trading||Line item 39 Other Interest-Bearing Liabilities Report the average balance of liabilities reported as Other Borrowed Money and Subordinated Notes and Debentures as defined in the FR Y-9C, Schedule HC, items 16 and items 19a which are not already reported in line item 35c Other Short Term Borrowing. This includes all long-term debt not included in line item 38 above. A sum of line items 36C  and 39  equals a sum of average|“other short term borrowing”|BHCK3190|, average BHCK4062, and average interest-bearing liabilities reported in BHCK2750; line item 40 (“other liabilities”) captures average non-interest bearing liabilities in BHCK2750.|Dynamic|Mandatory||1|
FR Y-14Q|Schedule F: Trading||Line item 40 Other Liabilities Report the average balance of liabilities reported as Other Liabilities as defined in the FR Y-9C, Schedule HC, item 20. A sum of line items 36C  and 39  equals a sum of average|“other short term borrowing”|BHCK3190|, average BHCK4062, and average interest-bearing liabilities reported in BHCK2750; line item 40 (“other liabilities”) captures average non-interest bearing liabilities in BHCK2750. Line item 41 Total Average Liability Balances This item is a shaded cell and is derived from sum of items 34, 35, 36, and 37 to 40.|Dynamic|Mandatory||1|
