Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference|Source Page|Table Row
FR Y-14Q|Schedule H: Wholesale Risk|1|Customer ID|CustomerID|CLCOM047|Report the unique internal identifier for the customer relationship under which the obligor's exposure is aggregated in the reporting entity's credit systems. Customer ID is a relationship concept under which multiple borrowers are aggregated because they have related risks, including, but not li...|Dynamic|Mandatory|Must not contain a carriage return, line feed, comma or any unprintable character.|1||167|1
FR Y-14Q|Schedule H: Wholesale Risk|1|Loan Number|LoanNumber|G063|Report the reporting - entity’s unique internal identifier for this credit facility record as of the most recent filing date. It must identify the credit facility for its entire life and must be unique. In the event the Loan Number changes (i.e., loan was converted to a new system through migrati...|Dynamic|Mandatory|Must be unique within a submission and over time. That is, the same submission file must not have two facilities with the same Loan Number. May not contain a carriage return, line feed, comma or any unprintable character.|1||222|1
FR Y-14Q|Schedule H: Wholesale Risk|2|Internal ID|InternalObligor ID|CLCOM300|Report the reporting entity’s unique internal identifier for the obligor. Internal ID is a borrower concept that identifies the entity under which multiple loans are aggregated.|Dynamic|Mandatory|Must not contain a carriage return, line feed, comma or any unprintable character.|1||167|2
FR Y-14Q|Schedule H: Wholesale Risk|2|Obligor Name|ObligorName|9017|"Report the obligor name on the loan. Full legal entity name is desirable, but the precise name is not necessary if it requires manual intervention to provide. If the borrowing entity is an individual (s) (Natural Person (s)), do not report the name; instead substitute with the text: ""Individual"""|Dynamic|Mandatory|"Must not contain a vertical bar (|, ASCII 7C), carriage return, line feed, comma or any unprintable character."|1||222|2
FR Y-14Q|Schedule H: Wholesale Risk|3|Original Internal ID|OriginalInterna lObligorID|CLCOG064|Report the internal identification code assigned to the obligor in the previous submission. If there is no change from the prior submission, or if this is the first submission, the Internal ID reported in Field 2 should be used as the Original Internal ID.|Dynamic|Mandatory|Must not contain a carriage return, line feed, comma or any unprintable character.|1||167|3
FR Y-14Q|Schedule H: Wholesale Risk|3|Outstanding Balance 28|OutstandingB alance|K448|Report all loan and lease financing receivables consistent with the FR Y-9C instructions. Report the amortized cost for HFI loans and the lower of cost or fair value for HFS loans. Report at fair value all HFS and HFI loans that the firm has elected to report under a fair value option . For fully...|Dynamic|Mandatory|Rounded whole dollar amount with no cents, e.g.: 20000000 Supply numeric values without any non-numeric formatting (no dollar sign, commas or decimal).|1||222|3
FR Y-14Q|Schedule H: Wholesale Risk|4|Obligor Name|ObligorName|CLCO9017|"Report the obligor name on the credit facility. Full legal corporate name is desirable. If the borrowing entity is an individual(s) (Natural Person(s)), do not report the name; instead substitute with the text: ""Individual."" For fronting exposures, report legal name of the participant lender."|Dynamic|Mandatory|Must not contain a carriage return, line feed, comma or any unprintable character.|1||167|4
FR Y-14Q|Schedule H: Wholesale Risk|4|Line Reported on FR Y-9C|LineReported OnFRY9C|K449|Report the integer code (see Allowable Values column) corresponding to the line number on the FR Y-9C, HC-C, in which the outstanding balance is recorded, or in the case of unused commitments, the line number in which the CRE Loan would be recorded if drawn.|Dynamic|Mandatory|1. 1-4 family residential construction loans originated in domestic offices (FR Y-9C, Schedule HC-C, item 1.a(1)). 2. Other construction loans and all land development|1||222|4
FR Y-14Q|Schedule H: Wholesale Risk|5|City|City|CLCO9130|Report the name of the city in which the obligor is domiciled (as defined in the FR Y-9C Glossary entry for “domicile”).|Dynamic|Mandatory|Free text indicating the City where the Obligor is domiciled.|1||167|5
FR Y-14Q|Schedule H: Wholesale Risk|5|Committed Exposure Global 29|CommittedBal ance|G074|Report the total commitment amount as the sum of loan and lease financing receivables recorded in FR Y-9C, Schedule HC-C (reported in Field 3) and any unused portion of the commitment recorded in Schedules HC-F, HC-G, and HC-L. For facilities with multiple lenders, only provide the reporting enti...|Dynamic|Mandatory|Rounded whole dollar amount, e.g.: 20000000 Supply numeric values without any non-numeric formatting (no dollar sign, commas or decimal).|1||223|2
