Report Name|Schedule Name|Line Item #|Line Item Name|Technical Line Item Name|MDRM|Description|Static or Dynamic|Mandatory or Optional|Format|# of reports or schedules used in|Other Schedule Reference
FR Y-14Q|Schedule B: Securities|10|Hedge Horizon|Hedge Horizon|2005|If the hedge is a fair value hedge, report the latest date of the remaining effectiveness horizon...|Dynamic|Mandatory|"Must be in yyyy-mm-dd
format, e.g.:
2005-02-01
1999-12-14"|2|Schedule H: Wholesale Risk
FR Y-14Q|Schedule B: Securities|15|ASU 2017-12 Hedge Designations|ASU 2017-12 Hedge Designations|2017|Indicate if any of the ASU 2017-12 hedge designations allowed in conjunction with partial-term he...|Dynamic|Mandatory|"1= Last-of-Layer;
2= One or more selected
contractual cash flows;
3= Not applicable"|1|
FR Y-14Q|Schedule E: Operational Risk||||2011||Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||||2011||Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||||2011||Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||||2011||Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q4|Q4|2007|ET4 BL2 4|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q4|Q4|2007|ET4 BL7 6|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q4|Q4|2007|ET1 BL2 5|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q1|Q1|2008|ET4 BL3 1|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q3|Q3|2008|ET4 BL2 1|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q2|Q2|2009|ET4 BL1 2|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q2|Q2|2009|ET3 BL4 1|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q3|Q3|2009|ET7 BL2 1|Dynamic|Mandatory||1|
FR Y-14Q|Schedule E: Operational Risk||Q3|Q3|2010|ET4 BL1 3|Dynamic|Mandatory||2|Schedule H: Wholesale Risk
FR Y-14Q|Schedule E: Operational Risk||Q4|Q4|2010|ET7 BL7 1|Dynamic|Mandatory||2|Schedule H: Wholesale Risk
FR Y-14Q|Schedule F: Trading|1000|||1000|20 1000 20 1000 30|Dynamic|Mandatory||1|
FR Y-14Q|Schedule H: Wholesale Risk|1|Customer ID (CustomerID)|Customer ID (CustomerID)|CLCOM047|Report the unique internal identifier for the customer relationship under which the obligor's exp...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|2|Internal ID (InternalObligor ID)|Internal ID (InternalObligor ID)|CLCOM300|Report the reporting entity’s unique internal identifier for the obligor. Internal ID is a borrow...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|2|Obligor Name (ObligorName)|Obligor Name (ObligorName)|9017|Report the obligor name on the loan. Full legal entity name is desirable, but the precise name is...|Dynamic|Mandatory|"Must not contain a vertical bar (|,
ASCII 7C), carriage return, line
feed, comma or any unprintable
character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|3|Original Internal ID (OriginalInterna lObligorID)|Original Internal ID (OriginalInterna lObligorID)|CLCOG064|Report the internal identification code assigned to the obligor in the previous submission. If th...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|4|Obligor Name (ObligorName)|Obligor Name (ObligorName)|CLCO9017|Report the obligor name on the credit facility. Full legal corporate name is desirable. If the bo...|Dynamic|Mandatory|"Must not contain a carriage
return, line feed, comma or any
unprintable character."|1|
FR Y-14Q|Schedule H: Wholesale Risk|5|City (City)|City (City)|CLCO9130|Report the name of the city in which the obligor is domiciled (as defined in the FR Y-9C Glossary...|Dynamic|Mandatory|"Free text indicating the City
where the Obligor is domiciled."|1|
FR Y-14Q|Schedule H: Wholesale Risk|6|Country (Country)|Country (Country)|CLCO9031|Report the domicile of the obligor (as defined in the FR Y-9C Glossary entry for “domicile”).|Dynamic|Mandatory|Use the 2 letter Country Code22|1|
FR Y-14Q|Schedule H: Wholesale Risk|7|Zip Code (ZipCodeForeign MailingCode)|Zip Code (ZipCodeForeign MailingCode)|CLCO9220|Report the five-digit zip code for locations within the 50 US states, Washington DC, Puerto Rico,...|Dynamic|Mandatory|"For locations within the 50 US
states, Washington DC, Puerto
Rico, the US Virgin Islands,
Guam, Palau, Micronesia, the
Northern Marianas, or the
Marshall Islands: five-digit ZIP
code. If the ZIP code begins with
zeroes, leading zeroes must be
specified with no punctuation.
For International: use country
specific postal code."|1|
FR Y-14Q|Schedule H: Wholesale Risk|7|Participation Flag (Participation Flag)|Participation Flag (Participation Flag)|6135|Indicate if the CRE Loan is participated or syndicated among other financial institutions and if ...|Dynamic|Mandatory|"1. No
2. Yes, syndicate/participant in
syndication but does not meet
the definition of a Shared
National Credit
3. Yes, agent in syndication but
does not meet the definition of
a Shared National Credit sold
by reporting BHC or IHC or
SLHC
4. Yes, syndicate/participant in
Shared National Credit
5. Yes, agent in Shared National
Credit"|1|
FR Y-14Q|Schedule H: Wholesale Risk|8|Industry Code (IndustryCode)|Industry Code (IndustryCode)|CLCO4537|Report the numeric code that describes the primary business activity of the obligor according to ...|Dynamic|Mandatory|"Report 4 to 6 digit number. If
this code is not available, then
provide a SIC or GICS industry
code."|1|
FR Y-14Q|Schedule H: Wholesale Risk|9|Industry Code Type (IndustryCodeTy pe)|Industry Code Type (IndustryCodeTy pe)|CLCOM297|Select the type of industry code identification scheme used in Field 8.|Dynamic|Mandatory|"1. NAICS
2. SIC
3. GICS"|1|
FR Y-14Q|Schedule H: Wholesale Risk|10|Obligor Internal Risk Rating (InternalRating)|Obligor Internal Risk Rating (InternalRating)|CLCOG080|Report the obligor rating grade from the reporting entity’s internal risk rating system. For fron...|Dynamic|Mandatory|"Free text indicating the obligor
rating grade.
Obligor Internal Risk Rating
must be consistent with
Schedule H.4 (Internal Risk
Rating Schedule), Field 1."|1|
FR Y-14Q|Schedule H: Wholesale Risk|10|Origination Date (OriginationDa|Origination Date (OriginationDa|9912|Report the origination date. The origination date is the contractual date of the credit agreement...|Dynamic|Mandatory|"Must be in yyyy-mm-dd format,
e.g.:
2005-02-01"|1|
FR Y-14Q|Schedule H: Wholesale Risk|11|TIN (TIN)|TIN (TIN)|CLCO6191|Report the Taxpayer Identification Number (TIN) assigned to the obligor by the U.S. Internal Reve...|Dynamic|Mandatory|"The 9 digit identification
assigned by the Internal
Revenue Service for the obligor
identified in field 2.
Allowable forms are either
##-#######, #########, or
‘NA’."|1|
FR Y-14Q|Schedule H: Wholesale Risk|12|Stock Exchange (StockExchange)|Stock Exchange (StockExchange)|CLCO4534|Report the name of the Stock Exchange on which the primary stock of the obligor, or its parent, t...|Dynamic|Mandatory|Free text|1|
FR Y-14Q|Schedule H: Wholesale Risk|13|Ticker Symbol (TKR)|Ticker Symbol (TKR)|CLCO4539|Report the Stock Symbol for stocks listed and traded on the regulated exchange provided in Field ...|Dynamic|Mandatory|Free text|1|
FR Y-14Q|Schedule H: Wholesale Risk|13|Value at Origination|Value at Origination|M148|Report the value of the subject property at origination (date given in Field 10) the value may be|Dynamic|Mandatory|"Rounded whole dollar amount
with no cents, e.g.: 20000000"|1|
FR Y-14Q|Schedule H: Wholesale Risk|14|CUSIP (CUSIP)|CUSIP (CUSIP)|CLCO9161|Report the CUSIP of the obligor, if available. CUSIPs are identifiers created and delivered by th...|Dynamic|Mandatory|"Must be valid 6 digit CUSIP
number issued by the CUSIP
Service Bureau."|1|
