# Source Database Tables
# Total: 126 tables
# Format: table_name|record_count|column_count|has_pk|fk_count

alembic_version|1|1|True|0
assignment_templates|0|17|True|0
data_sources|0|10|True|0
lobs|8|4|True|0
permissions|83|6|True|0
regulatory_data_dictionary|407|16|True|0
roles|7|7|True|0
sla_configurations|0|12|True|0
version_history|0|15|True|0
workflow_activity_dependencies|36|7|True|0
workflow_activity_templates|46|13|True|0
workflow_metrics|0|21|True|0
audit_log|17|11|True|1
resources|0|9|True|1
submission_validations|0|12|True|1
test_comparisons|0|14|True|1
test_cycles|27|10|True|1
test_report_sections|6|11|True|1
users|20|11|True|1
attribute_profiling_scores|0|26|True|2
attribute_version_change_logs|0|11|True|2
bulk_test_executions|0|16|True|2
data_profiling_files|1|17|True|2
document_access_logs|0|10|True|2
document_extractions|0|19|True|2
metrics_execution|0|12|True|2
observation_versions|0|34|True|2
metrics_phases|0|29|True|2
report_owner_assignment_history|2|10|True|2
report_owner_executives|0|2|True|2
reports|21|10|True|2
role_hierarchy|0|4|True|2
sample_approval_history|0|14|True|2
sample_records|5|17|True|2
sample_submission_items|0|7|True|2
sample_upload_history|0|18|True|2
sample_validation_results|0|16|True|2
samples|0|11|True|2
sla_escalation_rules|0|13|True|2
submission_reminders|0|15|True|2
test_result_reviews|0|17|True|2
universal_assignment_history|9|12|True|2
workflow_activity_history|0|12|True|2
workflow_alerts|0|16|True|2
workflow_steps|0|19|True|2
attribute_scoping_recommendation_versions|0|30|True|3
attribute_scoping_recommendations|0|18|True|3
attribute_version_comparisons|0|11|True|3
cycle_reports|24|9|True|3
data_owner_escalation_log|0|15|True|3
data_owner_phase_audit_log|7|15|True|3
data_profiling_rule_versions|0|26|True|3
data_provider_escalation_log|0|15|True|3
data_provider_phase_audit_log|0|15|True|3
database_tests|0|21|True|3
document_analyses|0|20|True|3
escalation_email_logs|0|12|True|3
historical_data_owner_assignments|0|13|True|3
historical_data_provider_assignments|0|13|True|3
llm_audit_log|1|13|True|3
observation_approvals|0|25|True|3
observation_clarifications|0|14|True|3
observation_impact_assessments|0|27|True|3
observations|0|15|True|3
permission_audit_log|1|11|True|3
profiling_rules|389|38|True|3
resource_permissions|0|11|True|3
role_permissions|208|6|True|3
sample_audit_logs|0|7|True|3
sample_validation_issues|0|13|True|3
scoping_audit_log|0|10|True|3
scoping_decision_versions|0|27|True|3
sla_violation_tracking|0|19|True|3
test_report_phases|1|18|True|3
user_permissions|8|8|True|3
user_roles|20|7|True|3
workflow_activities|44|24|True|3
workflow_executions|0|17|True|3
workflow_transitions|0|12|True|3
cdo_notifications|0|13|True|4
data_owner_notifications|0|19|True|4
data_provider_notifications|0|19|True|4
documents|0|31|True|4
llm_sample_generations|0|22|True|4
observation_management_phases|0|24|True|4
observation_resolutions|0|34|True|4
profiling_results|7|22|True|4
report_owner_scoping_reviews|1|12|True|4
request_info_audit_log|0|17|True|4
request_info_audit_logs|0|16|True|4
request_info_phases|1|15|True|4
sample_feedback|0|14|True|4
sample_selection_audit_log|0|17|True|4
sample_selection_phases|0|26|True|4
sample_sets|1|31|True|4
sample_submissions|0|17|True|4
scoping_submissions|1|14|True|4
submission_documents|0|23|True|4
test_execution_audit_logs|0|17|True|4
test_execution_phases|1|15|True|4
test_execution_versions|0|29|True|4
testing_execution_audit_logs|0|17|True|4
testing_execution_phases|0|15|True|4
attribute_lob_assignments|0|10|True|5
data_owner_sla_violations|0|15|True|5
data_profiling_phases|20|14|True|5
data_provider_sla_violations|0|15|True|5
database_submissions|0|25|True|5
document_submissions|2|22|True|5
individual_samples|0|20|True|5
report_owner_assignments|4|24|True|5
tester_scoping_decisions|118|12|True|5
workflow_phases|180|23|True|5
data_provider_submissions|0|22|True|6
document_revisions|0|17|True|6
observation_groups|0|24|True|6
observation_management_audit_logs|0|23|True|6
test_cases|2|20|True|6
data_owner_assignments|1|12|True|7
data_provider_assignments|0|12|True|7
observation_records|0|33|True|7
observation_records_backup|0|33|True|7
report_attributes|121|40|True|7
test_executions|0|19|True|7
universal_assignments|5|39|True|7
testing_test_executions|2|26|True|10
